"filename", "language", "Properties", "Java", "XML", "comment", "blank", "total"
"c:\Users\pieda\git\repo\gettw\build.properties", "Properties", 8, 0, 0, 1, 2, 11
"c:\Users\pieda\git\repo\gettw\plugin.properties", "Properties", 2, 0, 0, 1, 2, 5
"c:\Users\pieda\git\repo\gettw\plugin.xml", "XML", 0, 0, 9, 3, 5, 17
"c:\Users\pieda\git\repo\gettw\src\gettw\Actor.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\ArrowHeads.java", "Java", 0, 382, 0, 1466, 179, 2027
"c:\Users\pieda\git\repo\gettw\src\gettw\Colors.java", "Java", 0, 150, 0, 480, 63, 693
"c:\Users\pieda\git\repo\gettw\src\gettw\CustomLink.java", "Java", 0, 27, 0, 270, 27, 324
"c:\Users\pieda\git\repo\gettw\src\gettw\CustomShape.java", "Java", 0, 23, 0, 220, 23, 266
"c:\Users\pieda\git\repo\gettw\src\gettw\Diamond.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\Ellipse.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\GETTWDiagram.java", "Java", 0, 6, 0, 28, 5, 39
"c:\Users\pieda\git\repo\gettw\src\gettw\GettwFactory.java", "Java", 0, 26, 0, 163, 25, 214
"c:\Users\pieda\git\repo\gettw\src\gettw\GettwPackage.java", "Java", 0, 337, 0, 2436, 332, 3105
"c:\Users\pieda\git\repo\gettw\src\gettw\GraphElement.java", "Java", 0, 6, 0, 36, 5, 47
"c:\Users\pieda\git\repo\gettw\src\gettw\Link.java", "Java", 0, 3, 0, 12, 3, 18
"c:\Users\pieda\git\repo\gettw\src\gettw\Package.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\Picture.java", "Java", 0, 11, 0, 93, 11, 115
"c:\Users\pieda\git\repo\gettw\src\gettw\Rectangle.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\RoundedRectangle.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\Shape.java", "Java", 0, 15, 0, 140, 15, 170
"c:\Users\pieda\git\repo\gettw\src\gettw\Shapes.java", "Java", 0, 618, 0, 2469, 297, 3384
"c:\Users\pieda\git\repo\gettw\src\gettw\Subscript.java", "Java", 0, 5, 0, 36, 5, 46
"c:\Users\pieda\git\repo\gettw\src\gettw\Superscript.java", "Java", 0, 5, 0, 36, 5, 46
"c:\Users\pieda\git\repo\gettw\src\gettw\Text.java", "Java", 0, 5, 0, 36, 5, 46
"c:\Users\pieda\git\repo\gettw\src\gettw\TextIndex.java", "Java", 0, 7, 0, 55, 7, 69
"c:\Users\pieda\git\repo\gettw\src\gettw\Triangle.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\TriangleDown.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\TriangleLeft.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\TriangleRight.java", "Java", 0, 4, 0, 28, 4, 36
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\ActorImpl.java", "Java", 0, 44, 0, 61, 13, 118
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\CustomLinkImpl.java", "Java", 0, 348, 0, 373, 62, 783
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\CustomShapeImpl.java", "Java", 0, 298, 0, 319, 54, 671
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\DiamondImpl.java", "Java", 0, 44, 0, 61, 13, 118
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\EllipseImpl.java", "Java", 0, 44, 0, 61, 13, 118
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\GETTWDiagramImpl.java", "Java", 0, 73, 0, 63, 18, 154
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\GettwFactoryImpl.java", "Java", 0, 233, 0, 176, 39, 448
"c:\Users\pieda\git\repo\gettw\src\gettw\impl\GettwPackageImpl.java", "Java", 0, 1069, 0, 590, 171, 1830
